name,barangay,district,flood_type,river_or_creek,latitude,longitude
Generoso, Iñigo and Urduja St., Barangay 18-B, Poblacion District, Street Flooding, 7.0845176946267205, 125.61305166138249
Infront of DLPC, JP Laurel, Barangay 19-B, Poblacion District, Street Flooding, 7.093615718328858, 125.61198645777937
Veloso, Burgos, and Lacson St., Barangay 20-B, Poblacion District, Street Flooding, 7.0886229928762745, 125.6156338888693
In front of NCCC Victoria, Barangay 20-B, Poblacion District, Street Flooding, 7.087397907495052, 125.6121113239594
R. Magsaysay Avenue Corner F. Bangoy Street, Barangay 27-C, Poblacion District, Street Flooding, 7.074415325294762, 125.62300453561384
In front of DPWH XI, Ramon Magsaysay Avenue, Barangay 28-C, Poblacion District, Street Flooding, 7.073390453197847, 125.6172279681608
R. Magsaysay Avenue corner Suazo Street, Barangay 30-C, Poblacion District, Street Flooding, 7.074200919711453, 125.61862163559921
Roxas Ave. corner Quezon Blvd, Barangay 32-D, Poblacion District, Street Flooding, Adjacent Creek, 7.066814033683298, 125.61677189328482
C.M Recto Street Corner ADDU, Barangay 32-D, Poblacion District, Street Flooding, 7.072745725292196, 125.61210365452807
Del Pilar Ext. St., Purok Belisario, Barangay San Antonio, Agdao District, Street Flooding, 7.091931625970151, 125.63128431068544
Carpenter Street, Barangay Leon Garcia Sr., Agdao District, Street Flooding, 7.079558805481402, 125.62476757977632
Leon Garcia Street corner of Sta Ana Avenue, Barangay Leon Garcia Sr., Agdao District, Street Flooding, 7.077314833158622, 125.6249520513251
Leon Garcia Street corner Rosemary Street, Barangay Leon Garcia Sr., Agdao District, Street Flooding, 7.078938282294473, 125.62387443559803
Sacred Heart Parish, Obrero, Barangay Gov. Ponciano Bangoy, Agdao District, Street Flooding, 7.086134560980545, 125.618204760729
Zuno Street, Barangay Ubalde, Agdao District, Street Flooding, 7.095539147335631, 125.63572967092784
Purok San Juan, Brgy. Centro Agdao, Agdao District, Street Flooding, 7.090816459018058, 125.63689645281052
Purok San Miguel, Brgy. Centro Agdao, Agdao District, Street Flooding, 7.0852406554868494, 125.62648715279838
New San Isidro, NHA Buhangin, Barangay Buhangin Proper, Buhangin district, Street Flooding, 7.11474969388859, 125.62099976628534
Infront of SPMC, JP Laurel Avenue, Brgy. Buhangin Proper, Barangay Buhangin Proper, Buhangin district, Street Flooding, 7.0975628007815414, 125.62010120148304
Purok 15 (Infront of Buhangin Memorial),  Barangay Buhangin Proper, Buhangin district, Street Flooding, 7.116687595061496, 125.6148988784563
Near St. Mary of the Perpetual Rosary Parish along Buhangin Cabantian-Indangan Road,  Barangay Buhangin Proper, Buhangin district, Street Flooding, 7.1147123155893, 125.61347275059622
Lower La Verna, Barangay Cabantian, BUHANGIN DISTRICT, Street Flooding, 7.124507059975146, 125.63245992746188
Davao City Diversion Rd., along La Verna Hills Overpass, BUHANGIN DISTRICT, Street Flooding, 7.124331492176897, 125.63230258311263
Near Phase 4 Deca Homes, Brgy. Indangan, BUHANGIN DISTRICT, Street Flooding, 7.151870726587555, 125.6007627146998
Infront of Legaspi Oil, Davao-Panabo Road, Barangay Sasa, BUHANGIN DISTRICT, Street Flooding, 7.12072458188051, 125.65663211289561
Damosa, Lanang, Barangay Angliongto, BUHANGIN  DISTRICT, Street Flooding, 7.10362652644759, 125.63253875417965
In front of Magsaysay ES, Barangay Toril Proper, TORIL DISTRICT, Street Flooding, 6.998246, 125.492582
Magsaysay Street, Barangay Toril Proper, TORIL DISTRICT, Street Flooding, 6.998410, 125.492440
Don Juan Dela Cruz Street, Barangay Toril Proper, TORIL DISTRICT, Street Flooding, 6.998144, 125.493976
Toril Public Market, Barangay Toril Proper, TORIL DISTRICT, Street Flooding, 6.997230, 125.493106
Traffic Light Toril, Barangay Crossing Bayabas, TORIL DISTRICT, Street Flooding, 7.001642, 125.494791
Purok 6, Sayponl, Barangay Crossing Bayabas, TORIL DISTRICT, Street Flooding, 7.005110, 125.498800
Infront of Minute Burger, Crossing Bayabas Avenuel, Barangay Crossing Bayabas, TORIL DISTRICT, Street Flooding, 7.003444, 125.496922
McArthur Highway, TF Sirawan, Barangay Sirawan, TORIL DISTRICT, Street Flooding, 6.953110, 125.474620
Sirawan-Catigan Road, Barangay Catigan, TORIL DISTRICT, Street Flooding, 6.963442, 125.462110
Purok1-B Graceland, Barangay Los Amigos, TUGBOK DISTRICT, Street Flooding, 7.144810, 125.478950
Purok4-B, Barangay Los Amigos,TUGBOK DISTRICT, Street Flooding, 7.141500, 125.481200
Purok6-D, Barangay Los Amigos, TUGBOK DISTRICT, Street Flooding, 7.139800, 125.476400
Purok7, Barangay Los Amigos, TUGBOK DISTRICT, Street Flooding, 7.142120, 125.479540
Purok9, Barangay Los Amigos, TUGBOK DISTRICT, Street Flooding, 7.146200, 125.472100
Santander Highway, Barangay Los Amigos, TUGBOK DISTRICT, Street Flooding, 7.143710, 125.483120
Deca Tacunan, Barangay Tacunan, TUGBOK DISTRICT, Street Flooding, 7.118940, 125.518660
Purok 9B, Barangay Tacunan, TUGBOK DISTRICT, Street Flooding, 7.121500, 125.521100
Purok 15, Golden Shower Street, Brgy. Mintal, TUGBOK DISTRICT, Street Flooding, 7.098420, 125.534220
Near Tugbok Central Elementary School, along Davao-Bukidnon Road, Brgy. Tugbok Proper, TUGBOK DISTRICT, Street Flooding, 7.108924, 125.485186
Sunrise Village, San Miguel, Barangay Panacan, BUNAWAN DISTRICT, Street Flooding, 7.1523875, 125.6587656
Davao City Diversion Road near Panacan Depot, Barangay Panacan, BUNAWAN DISTRICT, Street Flooding, 7.1496865, 125.6573282
Outside Panacan Cemetery, Panacan Relocation, Barangay Panacan, BUNAWAN DISTRICT, Street Flooding, 7.1471196, 125.6579398
Infront of Vitarich and DBCOM, Barangay Panacan, BUNAWAN DISTRICT, Street Flooding, 7.1606039, 125.6572893
Malagamot Road, Brgy. Panacan, Barangay Panacan, BUNAWAN DISTRICT, Street Flooding, 7.1572756, 125.6569413
Sagrada Malagamot Rd, Barangay Panacan, BUNAWAN DISTRICT, Street Flooding, 7.1578265, 125.6516215
Infront of Barangay Hall, Barangay Tibungco, BUNAWAN DISTRICT, Street Flooding, 7.1901247, 125.6487988
Km.18, Crossing Eliong Rd. corner Daang-Maharlika Highway, Barangay Tibungco, BUNAWAN DISTRICT, Street Flooding, 7.1938761, 125.6478744
Daang Maharlika Highway corner Mudiang Rd., Barangay Ilang, BUNAWAN DISTRICT, Street Flooding, 7.1787007, 125.6528506
Fronting Holcim, Daang Maharlika Highway, Barangay Ilang, BUNAWAN DISTRICT, Street Flooding, 7.1746902, 125.6542346
